text, gender, followers, location, friends, comments, source, likes, reposts, label
“被拆迁”的人体模特、人大女生苏紫紫的故事，值得关注。 http://sinaurl.cn/hGqp9g,m,684058,北京 东城区,2935,129,微博 weibo.com,0,259,1
没有人有耐心听你讲完自己的故事，因为每个人都有自己的话要说；没有人喜欢听你抱怨生活，因为每个人都有自己的苦痛；世人多半寂寞，这世界愿意倾听，习惯沉默的人，难得几个。我再也不想对别人提起自己的过往，那些挣扎在梦魇中的寂寞，荒芜，还是交给时间，慢慢淡漠。@几米漫画集(转),m,2932632,台湾 台北市,59,40,皮皮时光机,100,654,1
【讣告】宇扬评剧苑讯：中国评剧一代宗师、洪派小生创始人、评剧非物质文化遗产传承人、评剧终身成就奖获得者洪影先生于2012年6月14日晚上8点30分在唐山的河北联大附属医院病逝，享年83岁。 家属决定，将于16日上午在唐山举行告别仪式。,m,15217,北京 门头沟区,3231,37,微博 weibo.com,0,116,1
【父爱的奥秘】- 如何做个称职老爸？和孩子们一起玩耍吧。研究表明，父亲们倾向于采用的互动方式将使孩子长期受益，这和母亲的育儿方式完全不同。http://t.cn/a9zQHq,m,18341662,北京 东城区,633,70,享拍微博通,0,454,1
#阿森纳真心粉#，还是沪M牌照的，屌丝粉速速退散！,m,1630,上海 虹口区,950,34,微博 weibo.com,3,806,1
【凤尚志】端午过后要清肠。粽子品种繁多，尤其是肉粽和猪油豆沙粽所含脂肪多，属油腻食品。过了端午节之后，最好清淡饮食三五天，让连日超负荷运转的胃肠道好好休息一下。考虑多吃些面、粉、粥之类的易消化食物，青菜水果可以多吃。,m,11117640,香港,316,77,皮皮时光机,2,232,1
『送给年轻人的6句话』1.不求与人相比，但求超越自己。2.宁愿为自己做过的后悔，也不愿为自己没做的遗憾。3.与其用泪水悔恨昨天，不如用汗水拼搏今天。4. 选择自己所爱的，爱自己所选择的。5.这一秒不放弃，下一秒就有希望。6.我们有什么好怕的，我们来到这个世上，就没打算活着回去。,f,1158202,北京 朝阳区,200,58,皮皮时光机,2,721,1
随视传媒COO薛晨@Cindy_Xue 在新浪微博发表的遭易传媒恐吓一文，纯属诽谤。我们强烈要求薛晨在今日内公开道歉，否则一切相关法律后果自负。,m,7589,上海,381,78,微博 weibo.com,1,181,1
【送天天向上门票两张】4月5日中午12点半，天天向上在大众传媒学校1400录制节目，免费送票2张，有时间的亲请加粉@免费长沙 并转发。老规矩，通过软件抽取，绝对木有潜规则！明天上午10点15公布名单！,m,51364,湖南 长沙,1998,121,iPhone客户端,0,189,1
【快来看！好强大的中秋福利[花心]】据@成都老茶客 称，这家成都的公司福利太凶悍了！中秋节国庆节给员工发IPhone5、三亚双飞6日游、现金、手表、包包等，都让员工不知如何选择了。（via：成都商报） 内已经牛干了。。。。[泪流满面],m,360416,上海,2915,72,Weico.iPhone,2,889,1
【三星Galaxy Note2爆炸 主人二级烧伤】日前，55岁用户的三星Galaxy Note 2发生爆炸，致其大腿二级烧伤。该用户称，他将Galaxy Note 2和一块备用电池一起装在裤兜，不知为何就炸了。去年3月，韩国光州一名学生也曾因Galaxy S2在裤兜里爆炸而受伤转给身边用三星的同學吧,f,75033,广东 广州,30,418,FaWave,7,827,1
【源自上海的牛蛙中检出霍乱弧菌】喜欢吃牛蛙的童鞋注意咯：苏州市疾控部门于上周在昆山一农贸市场内检出了含有霍乱弧菌的牛蛙。经调查，该批牛蛙进货源头是上海铜川路水产批发市场。该市发出紧急通知，暂停从上海有关方面采购牛蛙。http://t.cn/aoXh8A,f,169186,上海 黄浦区,1440,75,微博 weibo.com,0,582,1
中国的崛起，绝非前五百年西方列强的轮流称雄。他是东方的崛起，是另一种文明的崛起。人类历史的中心，将由西方转向东方。以神性为代表的西方文化将衰落，以人性为代表的中国文化将崛起。这次崛起的起点是1949年，拔动东西方文明大转移的巨人叫毛泽东。耶稣的时代就将终结，毛泽东的时代正在来临。,m,15756,陕西 西安,1241,200,微博 weibo.com,0,320,1
喜欢，就是知道对方最好的一面而喜欢他；爱，就是明知对方最差的一面，却仍然爱得义无反顾。  （晚安）,f,4371106,上海 黄浦区,77,118,时光机,0,882,1
【金正恩“恩准”朝鲜人穿“齐p小短裤”】7月5日讯 从前，如果朝鲜女性穿着紧身裤、戴耳环，将会成为新闻登上朝鲜媒体。通常，朝鲜会以穿着“过于资本主义”的理由没收这些东西。但现在，这些“老规矩”已经作古。平壤的时尚大跃进来了吗？,f,13950,福建 厦门,1457,237,孔明社交管理,0,712,1
失眠，挑明天在飞机上看的书，收到一邮件，大概是说她爱上了有妇之夫，并沉醉在＂他教会我很多东西＂这件事情上，其实爸爸也教会我们很多东西，但我们不能和他相爱，因为妈妈才是他的女人，我们应该和单身者恋爱，因为爱是双方学习的过程，三个人有点吵。#坏品位信箱# http://t.cn/SzDq1c,m,2163411,海外,2131,162,iPhone客户端,9,224,1
健康密码123=1天、2份水果、3份蔬菜。中国居民膳食指南推荐蔬菜每天300～500克，尤其要注意增加绿叶菜（菠菜、油菜、油麦菜、甘蓝等）和十字花科类（绿菜花、油菜、白萝卜、芥菜、白菜等）摄入，水果推荐每天摄入200～400克，蔬菜摄入较少时，就要适当增加水果摄入，反之亦然。via营养科普赵之德,m,2954252,海外 美国,102,50,WeicoPro,67,200,1
法新社报道，俄罗斯总理普京今日称不会解除欧盟蔬菜进口禁令，以回应欧盟借WTO向俄施压。欧盟代表团团长巴伦苏埃拉称“在即将加入WTO的关键时刻禁止进口有些令人惊讶，这个措施与加入WTO的努力方向相反”。普京随后回应称“致人死亡的黄瓜听上去实在不怎么样”、“不会为了所谓WTO精神而让人民中毒”。,m,16308083,北京 东城区,626,138,微博 weibo.com,0,307,1
锤子科技将完成1.5亿元B轮融资，5月底锤子手机将正式面市 | 据投资界消息，锤子科技即将完成1.5亿元B轮融资，目前仍有投资人在进行出资谈判，最终的投资金额将于下个月正式披露。本轮融资后，罗永浩那款人文范儿的锤子手机终于要出炉了，将于5月20日正式对外发布。 http://t.cn/8sbSkM1 by @冷夏17,m,1069909,北京 海淀区,527,112,36氪,39,245,1
周杰伦中文网广东歌迷会#天台爱情#包场观影第一场！给力的杰迷们，无敌霸气哈！！[威武][威武]#天台爱情#真的好好好好看！！不看后悔！！[酷][酷]@电影天台微博 ,m,7041,台湾 台北市,65,107,iPhone客户端,50,297,1
我瘦了，头发长了，性格开朗了，爱说爱笑了，心变坚强了，对自己有信心了，不喜欢在人前哭了，学会伪装了。一切都变了，却发现那份最初的单纯，善良，爱脸红还一直一直陪着我。原来我始终没变，变的只是心情...... (转)  ,f,3877773,广东,600,56,皮皮时光机,3,380,1
#自然堂全国路演随手拍#自然堂舞林争霸冠军果然是我喜欢的@张傲月 ，一路走来一直都非常支持他，没想到六一儿童节还在王府井东安市场看到他参加的自然堂路演活动，在现场看见了他真人跳舞哦，喜欢张傲月的女粉们，赶紧来收图啦！在现场我还体验了自然堂的产品，更加期待惊喜大奖了~,f,831629,北京 东城区,1211,125,微博 weibo.com,1,728,1
优酷首页。。。。宣传开始咯【视频：优酷传奇季-韩庚篇】 http://t.cn/zOnv0U7  （分享自 @优酷网）,f,1486,广东 深圳,238,79,优酷土豆,0,528,1
我头一次知道微博上居然有这么多傻逼不知道ODA——TM那不是无偿援助那是要还的好吗，日本的战争赔款一直都赖着不拿，然后所谓ODA根本就只给了几年就不给了，还说什么中国政府只字不提，TM根本就不给钱还提个毛，那个什么林萍早就被扒皮是个男精日了——难怪那么多公知呢，国人真是太傻逼太好骗了,f,628,天津 西青区,180,17,微博 weibo.com,27,622,1
前段时间大家讨论过内地大学的洗手间为何没有卫生纸的问题，不少的理由是怕被人拿走，其实动动脑筋就可以解决，这个是香港大埔火车站内洗手间的纸巾盒，上了锁了。所以，怕拿走不是理由。,f,3945585,香港,395,596,iPhone客户端,1,781,1
【外媒：常委人数变化使中国政治决策更有效率】十八大闭幕，国际舆论纷纷热评。英国《卫报》撰文称，习近平15日向媒体介绍他的中央政治局常委同事时表现十分自信。他同李克强已经在常委中共事了一届，配合良好，现在常委从9人减少到7人，将使中国的政治决策更加有效率。http://t.cn/zjwTWGb 人民日报,m,48243352,北京,1996,54,媒体版微博,17,626,1
网易有道内测类Evernote的云笔记本产品“有道笔记”，该产品公测版本包括桌面版、网页版及wap版。桌面版和网页版支持笔记的编辑、同步、管理和搜索功能，wap版可实现浏览、编辑和同步功能。免费初始空间为1G，并可根据在线时长自动扩容。,m,583341,广东 深圳,507,77,微博 weibo.com,0,128,1
技术员杨继思辅导儿子作业，有一道奥数题难住了他：把一部八成新的三星S4手机充满电需要四小时，放桌上把电自然耗光需要三小时，问，还有一半电量时，把充电器插上，多长时间后手机会因没电而自动关机？#飞鸟毛毯厂#,m,30276,北京 朝阳区,4,199,iPhone 5s,117,343,1
【历•纪】今立冬，冬已至。立冬分为三候：一候水始冰；二候地始冻；三候雉入大水为蜃。《黄帝内经》云：“冬三月，此谓闭藏，水冰地坼，无扰乎阳，早卧晚起，必待日光，使志若伏若匿，若有私意，若己有得，去寒就温，无泄皮肤，使气亟夺”。寒气渐升，储粮祭祀，静待阳旭，期望春暖。,f,170780,其他,48,63,时光机,49,819,1
 不要念念感伤，一些人的离开。多年以后。当我又开始回忆那些失去的人或事时。我一定会豁达的抿着嘴微笑。微笑着回忆一切。包括你。包括曾经迷失过自我的自己。@几米漫画集（转）,m,2932632,台湾 台北市,59,71,iPad客户端,5,430,1
#群护生活一点通# 描述喵星人毛色的黑话，继毁小清新之后，毁掉你们对老祖宗高雅的毛色说法的幻想,f,5271,广东 广州,941,43,搜狗高速浏览器,16,336,1
【苹果宣布9月12日举行发布会】外媒报道， 美国东部时间星期二早晨，苹果官方正式向媒体记者发出邀请函，确认将于太平洋时间9月12日星期三上午10点（北京时间13日星期四凌晨1点），在旧金山市芳草地艺术中心举行的 特别媒体发布会。 该邀请函内容很简单，仅写到：“It’s almost here.”,m,1363434,广东,176,85,Android客户端,1,625,1
２０１２那一天就下了决定，既然活着，就要好好活。  抛下过去所有经验、信念、评判和预设，用这个身体去体验一切，每一秒，都是新的。每一次，都是初次…世界，我来了:),f,336757,浙江 杭州,396,46,HTC灵感XL.urBeats,15,60,1
#冬日送暖B计划#【斯狄渢送你浴室采暖器】浴室采暖器功率低，洗澡瑟瑟发抖。浴霸光刺眼，宝宝眼睛难受。省电保暖保护视力的采暖器有没有？亲，关注 @福州斯狄渢电热水器 和 @财经961 转发并评论本微博＋@ 两个好友，五个名额，永久免费试用斯狄渢浴室采暖器。温暖安全，宝宝舒心！手指点点温暖到！,m,1649,福建,190,331,专业版微博,1,561,1
130818 #志龙推特更新# @IBGDRGN: Thank you all@&my fans and VIP's,m,549275,海外 韩国,26,99,iPhone客户端,344,610,1
#下班分享#【消失的边桌】丹麦设计师John brauer设计制作，通体透明，仿若腾空悬浮，若隐若现，最大承重25KG。（via：视觉志）,m,3406191,北京 海淀区,1320,30,专业版微博,0,173,1
【公安部专家建议取消超长途客运】统计资料显示，近年发生的导致10人以上死亡的重特大交通事故中，运输里程在1000公里以上的超长途汽车客运事故占很大比例。鉴于超长途汽车客运存在安全隐患，公安部交通管理科研所研究员应朝阳建议，应逐渐减少乃至取消这一交通运输方式。（新华社）,m,22556719,北京 朝阳区,957,325,财经网微社区,4,437,1
#历史上的今天#AC195年12月24日平安夜，地球国家军和白色獠牙的最终决战以OZ领导人特列斯·克休列那达的阵亡和五台高达成功阻止大型宇宙战舰天秤座坠落地球而落下帷幕，地球圈统一国家由此诞生。这场由败者所书写、引导人类走上完全和平主义道路的激战，被认为是人类历史上最后的战争，史称「EVE WARS」,m,100622,江苏 无锡,406,37,微博 weibo.com,8,260,1
【GIF】下集预告胡迪诺动图 姿势实在是太贱了[哈哈]弄得悠悠跟过电了似地[心] 好期待明天,f,26966,天津 河西区,499,30,微博 weibo.com,33,181,1
