text, gender, followers, location, friends, comments, source, likes, reposts, label
人间惨剧：今天下午约14点，宁波妇儿医院，一妇女携带一婴儿在住院楼跳楼，后抢救无效死亡。具体情况有关部门正在调查。据现场网友称妇女因小孩病重，加上负担不起昂贵的医疗费，带着刚满月的宝宝从12楼跳楼身亡。[蜡烛] 底层民众的医疗费用猛于虎，国人的性命其何等脆弱！[泪],f,227833,上海,907,55,微博 weibo.com,0,225,1
再去武大，已无牌坊！非要拆掉？@章立凡 @袁裕来律师 @老徐时评 @徐昕 @杨锦麟 @左小祖咒 @于建嵘 @袁飏先生,m,59624,其他,1923,170,微博 weibo.com,0,395,1
中国最美丽的乡村"江西婺源"一"教师打死学生" 昨晚，在被誉为中国最美丽的乡村江西省婺源县清华中学发生了一起“老师打死学生”的校园暴力事件 。这一骇人听闻的消息引起了全社会的极大震惊，本应为人师表的教师，缘何致学生于死地？中国的教育 改革问题在不少地方容... http://t.cn/zY1QWp0,m,66,江西 上饶,82,466,微吧,0,685,1
忍者QS：江苏省东海县女镇党委书记徐艳，因不愿陪县委书记关永健上床，竟然被警察毒打致子宫破裂。徐艳一怒揭开6亿贪污大案---东海县石梁河水库水淹地补偿款案，县委书记关永健一个人竟贪污6亿多元。关永健每年搞全县科级干部大调整，仅此每年受贿2000万以上。--转自人网 http://t.cn/zjKyD4R,m,8358,吉林 吉林,1474,15,微博 weibo.com,6,120,1
《北大猛男，持刀刺官！！！》“可歌可泣”的是王同学投案自首之后冷冷说了一句话是 “我并不后悔。是他们不让我依靠自力生存！！！！！！”微评：认真读图文字，不要说话！[泪],f,1096,新疆 巴音郭楞,1118,78,360安全浏览器,11,532,1
好心人帮忙转发下！　　　　　　　 　 　昨日福建省泉州市警察局抓到几个拐卖小孩犯罪团伙，现场获救了一名5岁的小孩。 　 　因他还小，说不清楚自己家的详细地址和家里的电话。　只知道他是云南昭通市人！让他们一家团圆！　请看到的每一个朋友都能帮忙转一下！  就是这位小男孩。,f,3512,上海 黄浦区,2995,1,iPhone客户端,0,157,1
【怎么鉴定地沟油】炒菜时放一颗剥皮的蒜头(蒜子)，蒜子对黄曲霉素最敏感。如果蒜子变红色就是地沟油，含有大量黄曲霉素。把你家里的油放到冰箱里2个小时，如果出现白色的泡沫一样，那就是地沟油。请发出你的爱心， 转给身边滴朋友吧！   ,f,172011,北京 朝阳区,26,44,皮皮时光机,3,929,1
湖南省交通厅原副厅长李晓希在今年两会上说；目前，我国《刑法》对贪污受贿量刑太轻了。如果贪污受贿50万元就被枪毙，就不会有人敢腐败了。话刚说完，他因涉嫌贪污受贿2亿元，被省纪委立案调查！贪腐50万就枪毙，不知李副厅长2亿元该枪毙多少次！,f,3508,山东 青岛,223,246,iPhone客户端,1,700,1
让历史照进现实！,m,104529,山东 济南,468,74,皮皮时光机,7,243,1
转来的，有懂阿拉伯语的吗，给翻译翻译！——叙利亚标语：中国，你们的道德比你们的产品还垃圾 ！ - 在叙利亚战火弥漫血肉横飞的时候，该国一名女子打出来的一幅标语让中国人震惊：“中国：你们的道德比你们的产品还垃圾。”这个标语让国人感到震惊，这幅照片成了... http://t.cn/zjHMWgO,m,29364,辽宁 沈阳,438,46,微博 weibo.com,0,166,1
请大家转发！社会车辆让出成雅高速！留出道路给救援队医院和部队车辆，黄金72小时！时间就是生命！PS：照片是雅安现场,m,1858,四川 成都,379,134,iPhone客户端,9,705,1
七旬老汉靠卖自己种的菜为生。一个从执法车上下来了一个年轻人，将老汉连扇几个耳光推倒在地。老汉到处寻找执法者，只想告诉他，我从山里骑和烂单车到这里用了3个多小时只想卖点钱给生病卧床的老伴买药。有良知的帮忙转一下，替老汉夺回公道.不会转，会脏了你的微博账号对吗？有心就转，没心就算了！,m,8971,海外 美国,480,25,微博 weibo.com,0,114,1
家乐福发生突发事件，营业时间所有出入口用铁门封闭，不许进出，原因是一女士在结账时跟在身边的孩子突然失踪，幸亏及时报警，家乐福立刻封闭所有出入口，后来孩子在二楼卫生间找到，头发被剃光，衣服被换掉，人贩子不知去向，团伙作案手法迅速，年关将至，请大家出入公共场合务必带好孩子。请转发[怒],f,148,山东 青岛,175,72,微博桌面,0,585,1
大家帮忙一起转 ！！！朋友妈妈在公交捡到了个钱包，里面有两张身份证，驾驶证，和三张1月25号惠州到武昌的火车票，名字分别是陈翠珍，高艳林，张馨元。春运期间，不知道失主花了多少功夫买这三张卧铺票，没了身份证如何回家过年，一定急疯了。转发举手之劳。 (联系:陈珉岩 13006609059),f,623,上海 徐汇区,219,36,iPhone客户端,1,251,1
【求扩散】Mico是中美混血男孩，3周岁，身高1米左右，偏瘦，寸头，离开时身穿绿色棉布大衣、深蓝色裤子、咖色皮鞋，能说简单的中文及英文。于1月7日16：33分左右，在爱绿双语幼儿园门口育秀路段（大润发周边）被抢走，至今下落未明，他的妈妈已近崩溃，望知情者提供线索，求扩散！,m,50906,广东 潮州,807,100,专业版微博,6,777,1
东海舰队徐州号护卫舰和一艘宋级柴电常规动力潜艇以及两艘海监船在钓鱼岛海域与日本金刚号、足柄号宙斯盾级驱逐舰和白根号护卫舰发生冲突，持续45分钟。日本最新的宙斯盾级足柄号驱逐舰当场被击中沉没，金刚号严重受创，白根号护卫舰在返航途中沉没。日本海上自卫队已派出救援队伍。中国海军徐州号受创,m,34403,上海,1954,82,微博 weibo.com,2,308,1
⚠转发: 帮忙转一下，一名北京三中的学生，叫谢露，13岁，消失几天了，他爸爸的号码是18611098634，或者18210183168，爱心接力，好友们都帮她忙转下，必有好报 。转发,m,1351,江苏 南京,2854,34,iPhone客户端,0,153,1
中国红十字会——你们凭什么购买这么多路虎？一种无耻可以肆无忌惮！一种诈骗可以正大光明！一种抢劫可以毫无顾忌！一种挥霍可以明目张胆！一种贪污可以合情合理！一种发言可以掩盖真相！——最后，一种法律对它视而不见！一个国家的慈善机构，贪婪到连慈善捐款都不放过，你们到底是什么人——？？？,f,8235,湖北 武汉,1807,48,微博 weibo.com,2,228,1
够了！！！[嘻嘻],m,699450,海外 希腊,259,212,微博 weibo.com,96,718,1
：【城管为了赶走路边卖小动物的小贩，把小贩的小动物全部活活踩死】因为小贩收摊慢了点，城管把小动物活活摔死，有小狗、小兔子、小乌龟和宠物鼠。小兔子被踩扁了，小狗的嘴里被踩出了鲜血，好多动物都摔成一团！！就算你要管理，但是也请你们珍惜生命。,m,44454,上海 普陀区,1057,207,微博 weibo.com,2,628,1
[围观]十万火急---请帮忙转下：一个重庆打工者，22岁，叫吴云飞，不知道在什么地方，请他速回重庆，直接到重庆鱼嘴人民医院。家中失火，父母双亡，妹妹伤势很严重，想见他最后一面。舅舅：15523263869[爱心传递]。这个不转对不起自己的良心 ，[心]重庆市綦江县古南街道百步梯社区党委罗东托[爱心传递],f,555043,上海 徐汇区,317,17,微博 weibo.com,0,212,1
美国高二的数学...请用一句话概况你的感受！,f,556084,福建,995,92,皮皮时光机,4,145,1
【10万元可全家移民瑞典？】新华网：欧洲移民又推新渠道，10万瑞典克朗（约10万元RMB）成立一家公司即可获全家居留许可。无经营范围限制，无员工数量要求，无须收入证明。即可与瑞典人享有同等的“从摇篮到坟墓”的福利与政策，免费教育，免费医疗，父母津贴，儿童津贴，学习津贴，失业救济同时享有。,f,1452868,北京,871,81,爱物网,4,190,1
【男子酒吧被阉割系发生在湖州】凌晨网友称温州某酒吧男子生殖器被割，经过查证核实，此事系发生在浙江湖州莉丽玛莲酒吧。“湖州一帅哥在酒吧闹事并殴打服务员，被内保请到里间武力开导，结果砍刀过于锋利，直接被“切睾”了，到医院的时候就已经死了。另还有三四人被砍倒。”@重口味是怎样炼成的,f,700500,广东,177,240,皮皮时光机,13,309,1
李盟盟，21岁，河南开封县陈留四中学生，今年高考565分。因县招办失职把她的志愿 申请锁在柜子忘了提交，造成任何大学都上不成。河南省高招办回应，此事不予处理！ 李盟盟是农村孩子，为供其上学妹妹辍学打工，父亲打工摔断了腿。你的一次转发也许 就能帮她改变命运！试试能否创造奇迹！  ！,m,182,北京 海淀区,92,44,Android客户端,1,773,1
1988年3月13日，四川石棉县发生森林火灾，石棉中学组织学生扑火，因火势太大，县里用车将学生强制送下山，学生周伟等三人强行下车执意不走，后火势蔓延，周伟和王海匆匆逃离，而另一学生高度近视，惶恐中在火海中罹难。县宣传部长原为罹难学生父亲部下，后将事迹通报中央，“赖宁的故事”广为传播。,m,55763,陕西 西安,11,35,微博 weibo.com,5,97,1
 @新浪早晚报 安徽淮南一位三四岁的小女孩，在同家人在外逛街时，转眼被人虏走，半个小时后家人找到女孩，内脏被挖，送往淮南某医院，拒绝接收，送往合肥某医院，死亡…不知拿着女孩内脏的人，现在是否听到女孩家人撕心裂肺的哭声…,f,84,安徽 淮南,147,36,三星Galaxy Note II,0,146,1
轰动全国的安徽籍YP秦某在上海市长宁区新泾地区散落17600元遭哄抢，警方在秦某取款的银行处查实，秦某仅取款7600元，而非秦某谎称的17600元，而截至今日秦某的7600元已全部返还，所以剩下的一万元永远不可能出现了。秦某的演技，使得上海市民仅去电视台为其捐款就达三万余元。秦某并号称抢钱的是上海人,m,2920,上海 黄浦区,73,52,iPhone客户端,1,545,1
[衰]【网传不实旧图，火车盒饭只要5元？】坐鸟10年火车，五元的盒饭见所未见闻所未闻，如今竟出现在央视的《新闻联播》里，记者报道火车上的东西一点都不贵！火车上的便民盒饭仅需5元！肉和菜都冒尖尖了只要5元！农民工朋友如果吃不饱还可以加饭！原来这一切都是假的……,f,671145,四川 成都,1704,377,微吧,4,999,1
#早安#【第11版新华字典让我们高中都白学了】地壳qiao改为地壳ke，阿e房pang宫改为阿a房fang宫，心宽体胖pan改为心宽体胖pang……[衰],f,44737,天津 河西区,1961,133,周博通微博管家,1,590,1
【新浪微博最重磅消息】根据得到的内幕爆料，新浪微博即将在3月5日率先在会员中开启“微博访客记录”功能，您可以在页面右侧看到所有来访微博记录！“悄悄关注”真的需要悄悄看了哦[酷],f,41634,上海 徐汇区,45,132,微博 weibo.com,10,511,1
央视大楼的设计者已经公开承认它的色情寓意，是那个日本搞生殖器建筑的设计师推荐的。主楼女性生殖器，副楼男性生殖器，央视这帮饭桶，让人玩了才恍然大悟，真是自取其辱。那个日本建筑师当时是五评委之一，早就看出了它的色情寓意，在这么庄重的建筑上开这么大的玩笑，羞辱了谁？请央视领导回答？转载,m,24092,江苏,2749,103,Android客户端,6,285,1
中国红十字会是唯一不加入国际红十字会的会员国——原来是山寨的，加入国际红十字会就必须在人事安排，行动、管理等方面符合国际规格，且账目必须向国际红十字会公开，多年来红十字会一方面是接受捐款，一方面是国家给予政府的津贴的机构。（阮次山）,m,160292,浙江 温州,680,16,微博 weibo.com,3,117,1
相声演员侯耀华发的，不是我发的！,m,20933,广东 广州,2731,27,Android客户端,13,109,1
【俄媒：失联客机在美国印度洋基地迭戈卡西亚岛！[吃惊]】俄罗斯媒体称，俄军方不愿意透露姓名的人仕说，据他们掌握的信息，失联客机在美国印度洋基地迭戈卡西亚岛，客机藏在机库里，这个新机库是两年前建的，能停B52等大型机体。美国这样做无非就是勒索中国不要倒向俄 http://t.cn/8s2LJo1 ,m,65204,海外 美国,532,85,iPhone客户端,4,235,1
十万火急-----谁的群多？请帮忙转一下：一个重庆打工者，22岁，叫吴云飞，不知道在什么地方，请他速回重庆，直接到重庆鱼嘴人民医院。家中失火，父母双亡，妹妹伤势很严重，想见他最后一面。舅舅：15523263869——爱心接力。【新中飞】,m,164357,上海,432,20,三星Galaxy SIII,0,113,1
